id,sequence,trip_id,stop_id,created_at,updated_at
1,0,1,459,2015-04-13 15:01:55 UTC,2015-04-13 15:01:55 UTC
3,1,1,460,2015-04-13 16:43:09 UTC,2015-04-13 16:43:09 UTC
4,2,1,374,2015-04-13 16:44:09 UTC,2015-04-13 16:44:09 UTC
5,3,1,376,2015-04-13 16:44:59 UTC,2015-04-13 16:44:59 UTC
6,4,1,377,2015-04-13 16:45:26 UTC,2015-04-13 16:45:26 UTC
7,5,1,379,2015-04-13 16:46:22 UTC,2015-04-13 16:46:22 UTC
124,0,16,48,2015-04-15 14:24:12 UTC,2015-04-15 14:24:49 UTC
8,0,2,379,2015-04-13 16:46:34 UTC,2015-04-13 16:46:34 UTC
125,1,16,335,2015-04-15 14:28:59 UTC,2015-04-15 14:28:59 UTC
9,1,2,378,2015-04-13 16:46:45 UTC,2015-04-13 16:46:45 UTC
126,2,16,334,2015-04-15 14:29:09 UTC,2015-04-15 14:29:09 UTC
10,2,2,375,2015-04-13 16:47:03 UTC,2015-04-13 16:47:03 UTC
127,3,16,257,2015-04-15 14:29:37 UTC,2015-04-15 14:29:37 UTC
11,3,2,373,2015-04-13 16:47:16 UTC,2015-04-13 16:47:16 UTC
128,4,16,79,2015-04-15 14:29:44 UTC,2015-04-15 14:29:44 UTC
12,4,2,372,2015-04-13 16:47:44 UTC,2015-04-13 16:47:44 UTC
129,5,16,80,2015-04-15 14:29:57 UTC,2015-04-15 14:29:57 UTC
13,5,2,371,2015-04-13 16:47:56 UTC,2015-04-13 16:47:56 UTC
130,6,16,75,2015-04-15 14:30:10 UTC,2015-04-15 14:30:10 UTC
14,7,2,459,2015-04-13 16:48:55 UTC,2015-04-13 16:48:55 UTC
25,0,5,459,2015-04-13 17:15:29 UTC,2015-04-13 17:15:29 UTC
26,1,5,369,2015-04-13 17:15:33 UTC,2015-04-13 17:15:33 UTC
28,2,5,363,2015-04-13 17:19:39 UTC,2015-04-13 17:19:39 UTC
29,3,5,367,2015-04-13 17:19:54 UTC,2015-04-13 17:19:54 UTC
35,0,6,361,2015-04-13 17:21:25 UTC,2015-04-13 17:21:25 UTC
36,1,6,462,2015-04-13 17:21:33 UTC,2015-04-13 17:21:33 UTC
39,2,6,359,2015-04-13 17:25:01 UTC,2015-04-13 17:25:01 UTC
40,3,6,357,2015-04-13 17:25:18 UTC,2015-04-13 17:25:18 UTC
41,4,6,365,2015-04-13 17:25:29 UTC,2015-04-13 17:25:29 UTC
42,5,6,368,2015-04-13 17:25:39 UTC,2015-04-13 17:25:39 UTC
43,6,6,362,2015-04-13 17:26:07 UTC,2015-04-13 17:26:07 UTC
44,7,6,461,2015-04-13 17:26:18 UTC,2015-04-13 17:26:18 UTC
45,8,6,459,2015-04-13 17:26:33 UTC,2015-04-13 17:26:33 UTC
46,0,8,459,2015-04-13 17:28:55 UTC,2015-04-13 17:28:55 UTC
47,1,8,432,2015-04-13 17:30:00 UTC,2015-04-13 17:30:00 UTC
48,2,8,433,2015-04-13 17:30:07 UTC,2015-04-13 17:30:07 UTC
49,3,8,434,2015-04-13 17:30:19 UTC,2015-04-13 17:30:19 UTC
50,4,8,435,2015-04-13 17:30:26 UTC,2015-04-13 17:30:26 UTC
51,5,8,436,2015-04-13 17:30:35 UTC,2015-04-13 17:30:35 UTC
52,6,8,437,2015-04-13 17:30:43 UTC,2015-04-13 17:30:43 UTC
53,7,8,438,2015-04-13 17:30:50 UTC,2015-04-13 17:30:50 UTC
54,8,8,439,2015-04-13 17:30:57 UTC,2015-04-13 17:30:57 UTC
55,9,8,440,2015-04-13 17:31:06 UTC,2015-04-13 17:31:06 UTC
56,10,8,441,2015-04-13 17:31:19 UTC,2015-04-13 17:31:19 UTC
57,11,8,442,2015-04-13 17:32:16 UTC,2015-04-13 17:32:16 UTC
58,12,8,443,2015-04-13 17:32:40 UTC,2015-04-13 17:32:40 UTC
59,13,8,444,2015-04-13 17:32:58 UTC,2015-04-13 17:32:58 UTC
60,14,8,357,2015-04-13 17:33:19 UTC,2015-04-13 17:33:19 UTC
61,15,8,365,2015-04-13 17:33:36 UTC,2015-04-13 17:33:36 UTC
62,16,8,368,2015-04-13 17:33:46 UTC,2015-04-13 17:33:46 UTC
63,17,8,362,2015-04-13 17:33:56 UTC,2015-04-13 17:33:56 UTC
64,18,8,461,2015-04-13 17:34:06 UTC,2015-04-13 17:34:06 UTC
