id,headsign,route_id,direction,created_at,updated_at
1,Amador,12,0,2015-04-13 15:01:41 UTC,2015-04-13 15:01:41 UTC
2,Albrook,12,1,2015-04-13 15:01:41 UTC,2015-04-13 15:01:41 UTC
5,Esclusas de Miraflores,13,0,2015-04-13 17:15:12 UTC,2015-04-13 17:15:12 UTC
6,Albrook,13,1,2015-04-13 17:15:12 UTC,2015-04-13 17:15:12 UTC
8,Ciudad del Saber,34,0,2015-04-13 17:28:44 UTC,2015-04-13 17:28:44 UTC
9,Gran Estación,1,1,2015-04-13 17:59:46 UTC,2015-04-13 17:59:46 UTC
10,Albrook,1,0,2015-04-13 17:59:46 UTC,2015-04-13 17:59:46 UTC
11,24 de diciembre,2,0,2015-04-13 18:01:22 UTC,2015-04-13 18:01:22 UTC
12,Circular,55,0,2015-04-13 23:02:58 UTC,2015-04-13 23:02:58 UTC
13,circular,115,0,2015-04-14 22:51:57 UTC,2015-04-14 22:51:57 UTC
14,circular,22,0,2015-04-15 13:21:16 UTC,2015-04-15 13:21:16 UTC
15,circular,35,0,2015-04-15 13:58:02 UTC,2015-04-15 13:58:02 UTC
16,circular,56,0,2015-04-15 14:22:41 UTC,2015-04-15 14:22:41 UTC
17,circular,79,0,2015-04-15 15:09:01 UTC,2015-04-15 15:09:01 UTC
18,Chilibre Interno,27,0,2015-04-15 15:36:50 UTC,2015-04-15 15:36:50 UTC
25,Chilibre,23,0,2015-04-15 16:26:15 UTC,2015-04-15 16:26:15 UTC
26,Albrook,23,1,2015-04-15 16:26:15 UTC,2015-04-15 16:26:15 UTC
29,Tocumen,163,0,2015-04-16 16:27:53 UTC,2015-04-16 16:27:53 UTC
30,Albrook,163,1,2015-04-16 16:27:53 UTC,2015-04-16 16:27:53 UTC
32,Alcalde Díaz,16,0,2015-04-16 19:14:11 UTC,2015-04-16 19:14:11 UTC
33,circular,80,0,2015-04-16 19:21:40 UTC,2015-04-16 19:21:40 UTC
34,Pacora,114,0,2015-04-16 19:38:15 UTC,2015-04-16 19:38:15 UTC
35,Albrook,114,1,2015-04-16 19:38:15 UTC,2015-04-16 19:38:15 UTC
36,Tocumen,171,0,2015-04-17 13:06:00 UTC,2015-04-17 13:06:00 UTC
37,Albrook,171,1,2015-04-17 13:06:00 UTC,2015-04-17 13:06:00 UTC
38,Tocumen,170,0,2015-04-17 14:03:39 UTC,2015-04-17 14:03:39 UTC
39,Estación Marañón,74,0,2015-04-17 15:05:50 UTC,2015-04-17 15:05:50 UTC
40,Teatro Balboa,75,0,2015-04-17 15:18:35 UTC,2015-04-17 15:18:35 UTC
43,Albrook,3,1,2015-04-24 20:55:02 UTC,2015-04-24 20:55:02 UTC
44,24 de diciembre,3,0,2015-04-24 20:55:02 UTC,2015-04-24 20:55:02 UTC
46,Cervecería Nacional,4,0,2015-04-24 20:56:43 UTC,2015-04-24 20:56:43 UTC
47,24 de diciembre,5,0,2015-04-24 20:57:48 UTC,2015-04-24 20:57:48 UTC
48,Ciudad Bolívar,33,0,2015-04-24 21:06:37 UTC,2015-04-24 21:06:37 UTC
49,Panamá Viejo,117,0,2015-04-25 23:05:23 UTC,2015-04-25 23:05:23 UTC
50,Albrook,117,1,2015-04-25 23:05:23 UTC,2015-04-25 23:05:23 UTC
51,Don Bosco,48,0,2015-04-27 00:07:36 UTC,2015-04-27 00:07:36 UTC
54,Albrook,81,1,2015-04-27 03:12:23 UTC,2015-04-27 03:12:23 UTC
55,Felipillo,81,0,2015-04-27 03:12:23 UTC,2015-04-27 03:12:23 UTC
56,La Doña,87,0,2015-04-27 03:17:02 UTC,2015-04-27 03:17:02 UTC
57,Albrook,87,1,2015-04-27 03:17:02 UTC,2015-04-27 03:17:02 UTC
58,24 de diciembre,9,0,2015-04-27 03:20:51 UTC,2015-04-27 03:20:51 UTC
59,Albrook,9,1,2015-04-27 03:20:51 UTC,2015-04-27 03:20:51 UTC
62,24 de diciembre,6,0,2015-04-27 14:35:19 UTC,2015-04-27 14:35:19 UTC
63,Albrook,6,1,2015-04-27 14:35:19 UTC,2015-04-27 14:35:19 UTC
64,Cervecería Nacional,7,0,2015-04-27 15:15:58 UTC,2015-04-27 15:15:58 UTC
65,Don Bosco,51,0,2015-04-27 16:42:28 UTC,2015-04-27 16:42:28 UTC
66,24 de diciembre,8,0,2015-04-27 17:12:52 UTC,2015-04-27 17:12:52 UTC
67,Albrook,119,1,2015-04-27 17:41:58 UTC,2015-04-27 17:41:58 UTC
68,Panamá Viejo,119,0,2015-04-27 17:41:58 UTC,2015-04-27 17:41:58 UTC
69,24 de diciembre interna,11,0,2015-04-27 18:36:45 UTC,2015-04-27 18:36:45 UTC
71,Plaza Concordia,10,0,2015-04-27 18:44:45 UTC,2015-04-27 18:44:45 UTC
72,Alcalde Díaz,15,0,2015-04-27 20:10:34 UTC,2015-04-27 20:10:34 UTC
73,Albrook,15,1,2015-04-27 20:10:34 UTC,2015-04-27 20:10:34 UTC
74,Cervecería Nacional,18,0,2015-04-27 20:22:06 UTC,2015-04-27 20:22:06 UTC
