id,name,lat,lon,created_at,updated_at
1,Hospital Santo Tomás,8.969822,-79.534385,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
2,Estación 5 de Mayo,8.962299,-79.539685,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
3,Estación de Marañón,8.961659,-79.538676,2015-04-07 02:27:18 UTC,2015-04-13 23:03:45 UTC
4,Calle 26 Este,8.962773,-79.535136,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
5,Hospital del Niño,8.968546,-79.532081,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
6,Calle 41 Este,8.972305,-79.528568,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
7,Parque Urracá,8.975188,-79.52731,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
8,Aquilino de la Guardia,8.974719,-79.521081,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
9,Calle 32 Este,8.966448,-79.532867,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
11,Calle 45 Este,8.97585,-79.531596,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
12,El Geriátrico,8.977883,-79.531055,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
13,Avenida 4a Sur,8.978346,-79.52938,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
14,Sol de la india,8.983113,-79.526695,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
15,Plaza Concordia,8.984402,-79.525864,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
17,Obarrio,8.992804,-79.520439,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
18,Cruce Vista Hermosa,8.994342,-79.51936,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
20,Mercadito Calidonia,8.963864,-79.539746,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
21,Calle 28 Calidonia,8.966251,-79.539086,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
22,Porras,8.970087,-79.53685,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
23,IJA del Casino,8.972293,-79.536299,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
24,Perejil,8.973019,-79.53637,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
26,Calle 26 Este,8.962773,-79.535136,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
27,Calle 32 Este,8.966448,-79.532867,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
28,Calle 41 Este,8.972305,-79.528568,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
32,Multiplaza,8.986875,-79.51267,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
33,Kyocera,8.98713,-79.509265,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
34,Instituto Justo Arosemena,8.987695,-79.505138,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
35,Atlapa,8.988167,-79.501488,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
36,BNP via porras,8.994093,-79.501198,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
37,Marbella (el pio pio),8.997702,-79.519846,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
38,Marbella (super 99),8.99826,-79.520022,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
41,El Ingenio,9.005754,-79.520143,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
43,El Ingenio,9.006107,-79.520593,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
44,Entrada Club X,9.007657,-79.520585,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
